,date,code,open,high,low,close,volume,amount,turn,pctChg,peTTM
0,2024-03-27,000001,10.56,10.63,10.51,10.53,1274136,1347397150.36,0.66,-0.66,4.4
1,2024-03-28,000001,10.51,10.57,10.38,10.49,1302189,1362980388.48,0.67,-0.38,4.38
2,2024-03-29,000001,10.45,10.57,10.43,10.52,872759,917332315.96,0.45,0.29,4.39
3,2024-01-10,000001,9.16,9.19,9.09,9.09,858621,783771150.01,0.44,-0.98,
4,2024-01-11,000001,9.08,9.22,9.03,9.17,934686,853890237.29,0.48,0.88,
5,2024-01-12,000001,9.13,9.27,9.11,9.19,772582,711018266.07,0.40,0.22,
6,2024-01-15,000001,9.16,9.29,9.13,9.21,745133,685950951.45,0.38,0.22,
7,2024-01-16,000001,9.19,9.35,9.16,9.34,1438313,1334465408.53,0.74,1.41,
8,2024-01-17,000001,9.33,9.39,9.23,9.23,1482296,1380725065.03,0.76,-1.18,
9,2024-01-18,000001,9.21,9.24,9.00,9.20,1755132,1597853726.63,0.90,-0.33,
10,2024-01-19,000001,9.16,9.20,9.10,9.17,963981,881865023.89,0.50,-0.33,
11,2024-01-22,000001,9.16,9.26,9.04,9.10,1580320,1449858241.68,0.81,-0.76,
12,2024-01-23,000001,9.05,9.18,8.96,9.16,1135545,1030898421.04,0.59,0.66,
13,2024-01-24,000001,9.23,9.34,9.07,9.33,1759123,1620099272.06,0.91,1.86,
14,2024-01-25,000001,9.33,9.54,9.27,9.50,2162514,2037648413.07,1.11,1.82,
15,2024-01-26,000001,9.47,9.67,9.44,9.62,2272287,2172799799.01,1.17,1.26,
16,2024-01-29,000001,9.69,9.88,9.58,9.70,2376252,2312173346.33,1.22,0.83,
17,2024-01-30,000001,9.61,9.70,9.49,9.50,1579122,1515156603.96,0.81,-2.06,
18,2024-01-31,000001,9.46,9.56,9.38,9.46,1357217,1286857396.81,0.70,-0.42,
19,2024-02-01,000001,9.41,9.48,9.34,9.41,1055260,993481907.01,0.54,-0.53,
20,2024-02-02,000001,9.42,9.47,9.07,9.27,1634214,1520605694.69,0.84,-1.49,
21,2024-02-05,000001,9.19,9.43,9.11,9.38,1803592,1674566499.46,0.93,1.19,
22,2024-02-06,000001,9.30,9.68,9.29,9.68,1995410,1900324218.20,1.03,3.20,
23,2024-02-07,000001,9.62,9.67,9.48,9.61,2062015,1975435102.12,1.06,-0.72,
24,2024-02-08,000001,9.58,9.67,9.52,9.67,1656814,1593505690.13,0.85,0.62,
25,2024-02-19,000001,9.76,9.81,9.65,9.81,1605243,1564088444.93,0.83,1.45,
26,2024-02-20,000001,9.79,9.84,9.73,9.82,1123564,1098987813.26,0.58,0.10,
27,2024-02-21,000001,9.78,10.80,9.77,10.80,5055285,5295259396.81,2.61,9.98,
28,2024-02-22,000001,10.65,10.91,10.62,10.90,4922325,5307736374.06,2.54,0.93,
29,2024-02-23,000001,10.88,11.24,10.84,10.85,3567480,3917316281.52,1.84,-0.46,
30,2024-02-26,000001,10.78,10.88,10.50,10.53,2862609,3048205024.78,1.48,-2.95,
31,2024-02-27,000001,10.49,10.60,10.46,10.50,1981905,2083027074.06,1.02,-0.28,
32,2024-02-28,000001,10.51,10.70,10.40,10.49,3082693,3253340358.41,1.59,-0.10,
33,2024-02-29,000001,10.42,10.59,10.41,10.59,1845344,1936020982.56,0.95,0.95,
34,2024-03-01,000001,10.59,10.60,10.43,10.49,1828103,1917689306.77,0.94,-0.94,
35,2024-03-04,000001,10.45,10.50,10.32,10.33,1655930,1719562862.03,0.85,-1.53,
36,2024-03-05,000001,10.30,10.47,10.26,10.43,1817319,1889144330.16,0.94,0.97,
37,2024-03-06,000001,10.40,10.45,10.33,10.33,1345640,1396940060.42,0.69,-0.96,
38,2024-03-07,000001,10.33,10.64,10.33,10.38,2016166,2109589237.19,1.04,0.48,
39,2024-03-08,000001,10.35,10.44,10.30,10.38,1113974,1154491251.23,0.57,0.00,
40,2024-03-11,000001,10.38,10.47,10.34,10.47,1210673,1260212019.66,0.62,0.87,
41,2024-03-12,000001,10.48,10.59,10.41,10.56,1641262,1721999708.11,0.85,0.86,
42,2024-03-13,000001,10.53,10.55,10.30,10.33,1768039,1834654994.40,0.91,-2.18,
43,2024-03-14,000001,10.30,10.38,10.20,10.23,1409400,1448499697.91,0.73,-0.97,
44,2024-03-15,000001,10.55,10.75,10.50,10.60,3750208,3973799130.90,1.93,3.62,
45,2024-03-18,000001,10.56,10.61,10.49,10.54,1671397,1761249149.98,0.86,-0.57,
46,2024-03-19,000001,10.53,10.54,10.39,10.40,1293216,1351069630.23,0.67,-1.33,
47,2024-03-20,000001,10.38,10.47,10.37,10.45,872663,910278572.98,0.45,0.48,
48,2024-03-21,000001,10.45,10.52,10.42,10.47,864466,905422293.67,0.45,0.19,
49,2024-03-22,000001,10.45,10.45,10.31,10.36,1028142,1065535606.11,0.53,-1.05,
50,2024-03-25,000001,10.35,10.49,10.32,10.40,953202,993304120.45,0.49,0.39,
51,2024-03-26,000001,10.45,10.66,10.42,10.60,1740021,1835376190.72,0.90,1.92,
52,2024-04-01,000001,10.52,10.65,10.51,10.64,1191088,1261770380.39,0.61,1.14,4.44
53,2024-04-02,000001,10.63,10.68,10.53,10.55,1085458,1149700799.95,0.56,-0.85,4.41
54,2024-04-03,000001,10.53,10.55,10.42,10.46,981846,1028648883.43,0.51,-0.85,4.37
55,2024-04-08,000001,10.42,10.49,10.37,10.43,906361,945290441.32,0.47,-0.29,4.36
56,2024-04-12,000001,10.22,10.27,10.04,10.06,1305454,1322011753.93,0.67,-1.85,4.2
